entity;paidDate
816bcad8f58a;2019-11-13
816bcad8f58a;2019-11-15
816bcad8f58a;2019-11-14
816bcad8f58a;2019-11-20
816bcad8f58a;2019-11-15
816bcad8f58a;2019-11-18
816bcad8f58a;2019-11-18
816bcad8f58a;2019-11-18
816bcad8f58a;2019-11-19
816bcad8f58a;2019-11-19
816bcad8f58a;2019-11-19
816bcad8f58a;2019-11-21
816bcad8f58a;2019-11-20
816bcad8f58a;2019-11-19
816bcad8f58a;2019-11-21
816bcad8f58a;2019-11-28
816bcad8f58a;2019-11-22
816bcad8f58a;2019-11-25
816bcad8f58a;2019-11-26
816bcad8f58a;2019-11-25
816bcad8f58a;2019-11-26
816bcad8f58a;2019-11-27
816bcad8f58a;2019-11-27
816bcad8f58a;2019-11-28
816bcad8f58a;2019-12-02
816bcad8f58a;2019-11-28
816bcad8f58a;2019-11-28
816bcad8f58a;2019-12-09
816bcad8f58a;2019-12-02
816bcad8f58a;2019-12-04
816bcad8f58a;2019-12-06
816bcad8f58a;2019-12-11
816bcad8f58a;2019-12-06
816bcad8f58a;2019-12-09
816bcad8f58a;2019-12-09
816bcad8f58a;2019-12-09
816bcad8f58a;2019-12-12
816bcad8f58a;2019-12-11
816bcad8f58a;2019-12-12
816bcad8f58a;2019-12-13
816bcad8f58a;2019-12-12
816bcad8f58a;2019-12-12
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-23
816bcad8f58a;2019-12-13
816bcad8f58a;2019-12-13
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-20
816bcad8f58a;2019-12-16
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-17
816bcad8f58a;2019-12-20
816bcad8f58a;2019-12-19
816bcad8f58a;2019-12-19
816bcad8f58a;2019-12-26
816bcad8f58a;2020-01-14
816bcad8f58a;2020-01-13
816bcad8f58a;2020-01-24
816bcad8f58a;2020-02-05
816bcad8f58a;2020-02-06
816bcad8f58a;2020-02-12
816bcad8f58a;2020-02-18
816bcad8f58a;2020-02-20
816bcad8f58a;2020-03-10
816bcad8f58a;2020-03-04
816bcad8f58a;2020-03-17
816bcad8f58a;2020-03-16
816bcad8f58a;2020-03-17
816bcad8f58a;2020-03-18
816bcad8f58a;2020-03-19
816bcad8f58a;2020-03-20
816bcad8f58a;2020-03-20
816bcad8f58a;2020-03-24
816bcad8f58a;2020-04-01
816bcad8f58a;2020-04-06
816bcad8f58a;2020-04-13
816bcad8f58a;2020-04-01
816bcad8f58a;2020-04-06
816bcad8f58a;2020-04-13
816bcad8f58a;2020-04-17
816bcad8f58a;2020-04-22
816bcad8f58a;2020-05-18
816bcad8f58a;2020-06-03
816bcad8f58a;2020-05-07
816bcad8f58a;2020-06-09
816bcad8f58a;2020-06-16
816bcad8f58a;2020-06-17
816bcad8f58a;2020-06-16
816bcad8f58a;2020-06-04
816bcad8f58a;2020-06-10
816bcad8f58a;2020-06-08
816bcad8f58a;2020-06-17
816bcad8f58a;2020-07-20
816bcad8f58a;2020-08-12
816bcad8f58a;2020-08-12
816bcad8f58a;2020-08-28
816bcad8f58a;2020-09-17
816bcad8f58a;2020-09-18
816bcad8f58a;2020-09-17
816bcad8f58a;2020-10-07
816bcad8f58a;2020-10-07
816bcad8f58a;2020-09-29
816bcad8f58a;2020-10-30
816bcad8f58a;2020-11-06
816bcad8f58a;2020-11-20
816bcad8f58a;2020-12-08
816bcad8f58a;2020-12-08
816bcad8f58a;2020-12-08
816bcad8f58a;2020-12-14
816bcad8f58a;2020-12-25
816bcad8f58a;2020-12-25
816bcad8f58a;2020-12-25
816bcad8f58a;2020-12-21
816bcad8f58a;2020-12-22
816bcad8f58a;2020-12-28
816bcad8f58a;2021-01-12
816bcad8f58a;2021-01-13
816bcad8f58a;2021-01-14
816bcad8f58a;2021-01-12
816bcad8f58a;2021-01-15
816bcad8f58a;2021-01-13
816bcad8f58a;2021-01-15
816bcad8f58a;2021-01-15
816bcad8f58a;2021-01-15
816bcad8f58a;2021-01-19
816bcad8f58a;2021-01-21
816bcad8f58a;2021-01-22
816bcad8f58a;2021-02-04
816bcad8f58a;2021-01-25
816bcad8f58a;2021-01-26
816bcad8f58a;2021-01-26
816bcad8f58a;2021-01-28
816bcad8f58a;2021-01-27
816bcad8f58a;2021-01-31
816bcad8f58a;2021-01-28
816bcad8f58a;2021-02-01
816bcad8f58a;2021-02-02
816bcad8f58a;2021-02-04
816bcad8f58a;2021-02-03
816bcad8f58a;2021-02-08
816bcad8f58a;2021-02-10
816bcad8f58a;2021-02-05
816bcad8f58a;2021-02-08
816bcad8f58a;2021-02-12
816bcad8f58a;2021-02-11
816bcad8f58a;2021-02-10
816bcad8f58a;2021-02-12
816bcad8f58a;2021-02-15
816bcad8f58a;2021-02-15
816bcad8f58a;2021-02-16
816bcad8f58a;2021-02-25
816bcad8f58a;2021-02-24
816bcad8f58a;2021-02-26
816bcad8f58a;2021-02-24
816bcad8f58a;2021-02-24
816bcad8f58a;2021-03-02
816bcad8f58a;2021-03-15
816bcad8f58a;2021-03-02
816bcad8f58a;2021-03-03
816bcad8f58a;2021-03-03
816bcad8f58a;2021-03-04
816bcad8f58a;2021-03-11
816bcad8f58a;2021-03-11
816bcad8f58a;2021-03-12
816bcad8f58a;2021-03-11
816bcad8f58a;2021-03-14
816bcad8f58a;2021-03-15
816bcad8f58a;2021-03-15
816bcad8f58a;2021-03-15
816bcad8f58a;2021-03-18
816bcad8f58a;2021-03-16
816bcad8f58a;2021-03-18
816bcad8f58a;2021-03-18
816bcad8f58a;2021-03-24
816bcad8f58a;2021-03-18
816bcad8f58a;2021-03-24
816bcad8f58a;2021-03-25
816bcad8f58a;2021-03-24
816bcad8f58a;2021-03-24
816bcad8f58a;2021-03-25
816bcad8f58a;2021-03-26
816bcad8f58a;2021-03-26
816bcad8f58a;2021-03-26
816bcad8f58a;2021-03-30
816bcad8f58a;2021-03-30
816bcad8f58a;2021-03-30
816bcad8f58a;2021-03-31
816bcad8f58a;2021-04-01
816bcad8f58a;2021-03-31
816bcad8f58a;2021-04-09
816bcad8f58a;2021-04-12
816bcad8f58a;2021-04-05
816bcad8f58a;2021-04-06
816bcad8f58a;2021-04-06
816bcad8f58a;2021-04-06
816bcad8f58a;2021-04-07
816bcad8f58a;2021-04-06
816bcad8f58a;2021-04-07
816bcad8f58a;2021-04-09
816bcad8f58a;2021-04-15
816bcad8f58a;2021-04-15
816bcad8f58a;2021-04-12
816bcad8f58a;2021-04-12
816bcad8f58a;2021-04-12
816bcad8f58a;2021-04-12
816bcad8f58a;2021-04-13
816bcad8f58a;2021-04-15
816bcad8f58a;2021-04-15
816bcad8f58a;2021-04-16
816bcad8f58a;2021-04-16
816bcad8f58a;2021-04-19
816bcad8f58a;2021-04-16
816bcad8f58a;2021-04-19
816bcad8f58a;2021-04-20
816bcad8f58a;2021-04-21
816bcad8f58a;2021-04-22
816bcad8f58a;2021-04-26
816bcad8f58a;2021-04-23
816bcad8f58a;2021-04-27
816bcad8f58a;2021-05-14
816bcad8f58a;2021-05-20
816bcad8f58a;2021-05-26
816bcad8f58a;2021-06-03
816bcad8f58a;2021-08-16
816bcad8f58a;2021-10-04
816bcad8f58a;2021-11-01
816bcad8f58a;2021-11-11
816bcad8f58a;2021-11-09
816bcad8f58a;2021-11-10
816bcad8f58a;2021-11-12
816bcad8f58a;2021-11-15
816bcad8f58a;2021-11-16
816bcad8f58a;2021-11-19
816bcad8f58a;2021-11-18
816bcad8f58a;2021-11-22
816bcad8f58a;2021-11-22
816bcad8f58a;2021-11-24
816bcad8f58a;2021-11-25
816bcad8f58a;2021-11-26
816bcad8f58a;2021-12-02
816bcad8f58a;2021-12-02
816bcad8f58a;2021-12-02
816bcad8f58a;2021-12-02
816bcad8f58a;2021-12-02
816bcad8f58a;2021-12-09
816bcad8f58a;2021-12-08
816bcad8f58a;2021-12-08
816bcad8f58a;2021-12-08
816bcad8f58a;2021-12-10
816bcad8f58a;2021-12-10
816bcad8f58a;2021-12-13
816bcad8f58a;2021-12-13
816bcad8f58a;2021-12-17
816bcad8f58a;2021-12-16
816bcad8f58a;2021-12-16
816bcad8f58a;2021-12-17
816bcad8f58a;2021-12-27
816bcad8f58a;2021-12-28
816bcad8f58a;2022-01-13
816bcad8f58a;2022-01-14
816bcad8f58a;2022-01-20
816bcad8f58a;2022-01-24
816bcad8f58a;2022-01-25
816bcad8f58a;2022-01-26
816bcad8f58a;2022-02-04
816bcad8f58a;2022-01-27
816bcad8f58a;2022-02-04
816bcad8f58a;2022-02-09
816bcad8f58a;2022-02-03
816bcad8f58a;2022-02-07
816bcad8f58a;2022-02-04
816bcad8f58a;2022-02-04
816bcad8f58a;2022-02-07
816bcad8f58a;2022-02-04
816bcad8f58a;2022-02-18
816bcad8f58a;2022-02-28
816bcad8f58a;2022-02-09
816bcad8f58a;2022-02-08
816bcad8f58a;2022-03-01
816bcad8f58a;2022-02-11
816bcad8f58a;2022-02-11
816bcad8f58a;2022-02-20
816bcad8f58a;2022-02-15
816bcad8f58a;2022-02-14
816bcad8f58a;2022-02-21
816bcad8f58a;2022-03-18
816bcad8f58a;2022-02-28
816bcad8f58a;2022-02-28
816bcad8f58a;2022-02-28
816bcad8f58a;2022-03-01
816bcad8f58a;2022-03-02
816bcad8f58a;2022-03-03
816bcad8f58a;2022-03-04
816bcad8f58a;2022-03-11
816bcad8f58a;2022-03-03
816bcad8f58a;2022-03-11
816bcad8f58a;2022-03-11
816bcad8f58a;2022-03-14
816bcad8f58a;2022-03-29
816bcad8f58a;2022-03-15
816bcad8f58a;2022-03-22
816bcad8f58a;2022-03-21
816bcad8f58a;2022-03-22
816bcad8f58a;2022-03-25
816bcad8f58a;2022-03-25
816bcad8f58a;2022-03-28
816bcad8f58a;2022-03-28
816bcad8f58a;2022-04-06
816bcad8f58a;2022-04-05
816bcad8f58a;2022-04-06
816bcad8f58a;2022-04-06
816bcad8f58a;2022-04-07
816bcad8f58a;2022-04-08
816bcad8f58a;2022-04-12
816bcad8f58a;2022-04-14
816bcad8f58a;2022-04-21
816bcad8f58a;2022-04-19
816bcad8f58a;2022-04-20
816bcad8f58a;2022-04-25
816bcad8f58a;2022-04-26
816bcad8f58a;2022-04-27
816bcad8f58a;2022-04-29
816bcad8f58a;2022-05-05
816bcad8f58a;2022-05-11
816bcad8f58a;2022-05-23
816bcad8f58a;2022-05-23
816bcad8f58a;2022-05-20
816bcad8f58a;2022-05-23
816bcad8f58a;2022-05-24
816bcad8f58a;2022-05-27
816bcad8f58a;2022-06-01
816bcad8f58a;2022-06-07
816bcad8f58a;2022-06-02
816bcad8f58a;2022-05-30
816bcad8f58a;2022-06-10
816bcad8f58a;2022-06-16
816bcad8f58a;2022-06-16
816bcad8f58a;2022-06-16
816bcad8f58a;2022-06-21
816bcad8f58a;2022-06-21
816bcad8f58a;2022-06-29
816bcad8f58a;2022-06-23
816bcad8f58a;2022-06-28
816bcad8f58a;2022-07-01
816bcad8f58a;2022-07-01
816bcad8f58a;2022-07-01
816bcad8f58a;2022-07-04
816bcad8f58a;2022-07-04
816bcad8f58a;2022-07-05
816bcad8f58a;2022-07-05
816bcad8f58a;2022-07-06
816bcad8f58a;2022-07-06
816bcad8f58a;2022-07-08
816bcad8f58a;2022-07-07
816bcad8f58a;2022-07-12
816bcad8f58a;2022-07-18
816bcad8f58a;2022-07-21
816bcad8f58a;2022-07-21
816bcad8f58a;2022-07-21
816bcad8f58a;2022-07-25
816bcad8f58a;2022-07-27
816bcad8f58a;2022-08-03
816bcad8f58a;2022-07-28
816bcad8f58a;2022-08-02
816bcad8f58a;2022-08-24
816bcad8f58a;2022-08-09
816bcad8f58a;2022-08-17
816bcad8f58a;2022-08-17
816bcad8f58a;2022-08-19
816bcad8f58a;2022-08-19
816bcad8f58a;2022-08-19
816bcad8f58a;2022-08-28
816bcad8f58a;2022-08-30
816bcad8f58a;2022-09-05
816bcad8f58a;2022-09-01
816bcad8f58a;2022-09-01
816bcad8f58a;2022-09-12
816bcad8f58a;2022-09-08
816bcad8f58a;2022-09-09
816bcad8f58a;2022-09-12
816bcad8f58a;2022-09-14
816bcad8f58a;2022-09-14
816bcad8f58a;2022-09-15
816bcad8f58a;2022-09-13
816bcad8f58a;2022-09-21
816bcad8f58a;2022-09-23
816bcad8f58a;2022-09-23
816bcad8f58a;2022-09-24
816bcad8f58a;2022-09-29
816bcad8f58a;2022-10-03
816bcad8f58a;2022-10-04
816bcad8f58a;2022-10-07
816bcad8f58a;2022-10-14
816bcad8f58a;2022-10-20
816bcad8f58a;2022-10-25
816bcad8f58a;2022-10-27
816bcad8f58a;2022-11-14
816bcad8f58a;2022-11-07
816bcad8f58a;2022-10-31
85e67c5b07c5;2023-06-08
85e67c5b07c5;2023-06-09
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-09
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-17
85e67c5b07c5;2023-06-13
85e67c5b07c5;2023-06-13
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-13
85e67c5b07c5;2023-06-13
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-16
85e67c5b07c5;2023-06-19
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-14
85e67c5b07c5;2023-06-16
85e67c5b07c5;2023-06-15
85e67c5b07c5;2023-06-15
85e67c5b07c5;2023-06-15
85e67c5b07c5;2023-06-15
85e67c5b07c5;2023-06-15
85e67c5b07c5;2023-06-16
85e67c5b07c5;2023-06-16
85e67c5b07c5;2023-06-16
85e67c5b07c5;2023-06-19
85e67c5b07c5;2023-08-03
85e67c5b07c5;2023-08-07
85e67c5b07c5;2023-08-15
85e67c5b07c5;2023-08-15
85e67c5b07c5;2023-08-15
85e67c5b07c5;2023-08-17
85e67c5b07c5;2023-08-21
85e67c5b07c5;2023-08-18
85e67c5b07c5;2023-08-21
85e67c5b07c5;2023-08-22
85e67c5b07c5;2023-08-22
85e67c5b07c5;2023-08-25
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-23
85e67c5b07c5;2023-08-23
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-24
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-25
85e67c5b07c5;2023-08-18
85e67c5b07c5;2023-08-28
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-28
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-28
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-29
85e67c5b07c5;2023-08-30
85e67c5b07c5;2023-08-30
85e67c5b07c5;2023-08-31
85e67c5b07c5;2023-08-30
85e67c5b07c5;2023-08-30
85e67c5b07c5;2023-08-31
85e67c5b07c5;2023-08-31
85e67c5b07c5;2023-08-31
85e67c5b07c5;2023-09-01
85e67c5b07c5;2023-09-04
85e67c5b07c5;2023-09-01
85e67c5b07c5;2023-10-02
85e67c5b07c5;2023-09-02
85e67c5b07c5;2023-09-04
85e67c5b07c5;2023-09-05
85e67c5b07c5;2023-09-05
85e67c5b07c5;2023-09-05
85e67c5b07c5;2023-09-06
85e67c5b07c5;2023-09-05
85e67c5b07c5;2023-09-06
85e67c5b07c5;2023-09-07
85e67c5b07c5;2023-09-06
85e67c5b07c5;2023-09-05
85e67c5b07c5;2023-09-06
85e67c5b07c5;2023-09-07
85e67c5b07c5;2023-09-11
85e67c5b07c5;2023-09-08
85e67c5b07c5;2023-09-12
85e67c5b07c5;2023-09-13
85e67c5b07c5;2023-09-13
85e67c5b07c5;2023-09-14
85e67c5b07c5;2023-09-12
85e67c5b07c5;2023-09-15
85e67c5b07c5;2023-09-12
85e67c5b07c5;2023-09-19
85e67c5b07c5;2023-09-13
85e67c5b07c5;2023-09-13
85e67c5b07c5;2023-09-12
85e67c5b07c5;2023-09-14
85e67c5b07c5;2023-09-19
85e67c5b07c5;2023-09-18
85e67c5b07c5;2023-09-14
85e67c5b07c5;2023-09-21
85e67c5b07c5;2023-09-25
85e67c5b07c5;2023-09-22
85e67c5b07c5;2023-09-22
85e67c5b07c5;2023-09-25
85e67c5b07c5;2023-09-26
85e67c5b07c5;2023-10-02
85e67c5b07c5;2023-09-26
85e67c5b07c5;2023-10-10
85e67c5b07c5;2023-09-28
85e67c5b07c5;2023-09-28
85e67c5b07c5;2023-09-29
85e67c5b07c5;2023-09-28
85e67c5b07c5;2023-09-29
85e67c5b07c5;2023-09-29
85e67c5b07c5;2023-09-29
85e67c5b07c5;2023-09-30
85e67c5b07c5;2023-10-04
85e67c5b07c5;2023-10-02
85e67c5b07c5;2023-10-02
85e67c5b07c5;2023-10-04
85e67c5b07c5;2023-10-09
85e67c5b07c5;2023-10-03
85e67c5b07c5;2023-10-03
85e67c5b07c5;2023-10-04
85e67c5b07c5;2023-10-10
85e67c5b07c5;2023-10-05
85e67c5b07c5;2023-10-18
85e67c5b07c5;2023-10-04
85e67c5b07c5;2023-10-04
85e67c5b07c5;2023-10-05
bd8fef16b460;2023-10-05
85e67c5b07c5;2023-10-08
85e67c5b07c5;2023-10-06
85e67c5b07c5;2023-10-06
bd8fef16b460;2023-10-06
85e67c5b07c5;2023-10-06
85e67c5b07c5;2023-10-06
bd8fef16b460;2023-10-06
bd8fef16b460;2023-10-06
bd8fef16b460;2023-10-09
85e67c5b07c5;2023-10-09
bd8fef16b460;2023-10-09
bd8fef16b460;2023-10-10
bd8fef16b460;2023-10-09
bd8fef16b460;2023-10-10
85e67c5b07c5;2023-10-10
bd8fef16b460;2023-10-10
bd8fef16b460;2023-10-10
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-06
bd8fef16b460;2023-10-06
bd8fef16b460;2023-10-11
bd8fef16b460;2023-10-11
bd8fef16b460;2023-10-11
bd8fef16b460;2023-10-11
bd8fef16b460;2023-10-11
bd8fef16b460;2023-10-13
85e67c5b07c5;2023-10-12
85e67c5b07c5;2023-10-12
bd8fef16b460;2023-10-12
85e67c5b07c5;2023-10-12
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-03
bd8fef16b460;2023-10-12
85e67c5b07c5;2023-10-13
bd8fef16b460;2023-10-13
bd8fef16b460;2023-10-13
85e67c5b07c5;2023-10-18
bd8fef16b460;2023-10-22
bd8fef16b460;2023-10-13
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-13
bd8fef16b460;2023-10-27
bd8fef16b460;2023-10-15
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-18
bd8fef16b460;2023-10-16
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-18
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
bd8fef16b460;2023-10-17
